id,name,officialAllergenStatus,sourceFamily,parserProfile,totalItemCount,officialItemCount,officialCoverageRatio,directAverageAllergenCount,crossContactAverageAllergenCount,directItemWithAnyCount,directItemWithAnyRatio,crossContactItemWithAnyCount,crossContactItemWithAnyRatio,officialEvidenceBucket,officialFullMatrixOrApiCount,officialIngredientDisclosureCount,officialProductSectionCount,officialGlobalCrossContactNoteCount,suspiciousOfficialParserFragmentCount,dominantDirectAllergenSet,dominantDirectAllergenSetCount,dominantDirectAllergenSetRatio,dominantCrossContactSet,dominantCrossContactSetCount,dominantCrossContactSetRatio,suspiciousRowCount,classifications,remediationBucket,reviewNote,sourceUrls,evidenceSnippets
chang-chang-dc,Chang Chang,extracted,generic-website,generic-website,103,2,0.019,0,0,0,0,0,0,official-disclosure-only,0,0,2,0,0,,0,0,,0,0,0,low-official-coverage:official-disclosure-only,low-official-coverage:official-disclosure-only,Only item-level official disclosure text was found for a small subset of items; preserve those rows but do not treat this as a complete official matrix.,https://changchangdc.com/lunch-dinner | https://changchangdc.com/ | https://changchangdc.com/menu-basil | https://changchangdc.com/dessert | https://changchangdc.com/brunch | https://changchangdc.com/takeout-1 | https://changchangdc.com/takeout-menu | https://order.toasttab.com/online/changchangdc | https://changchangdc.com/menu,Asparagus w. Jumbo Shrimp | sauteed in oyster sauce | Beef Brisky Noodle Soup | Beef Chow Fun | Beijing-flavor Chicken
chao-ban-tysons-va,Chao Ban,not-found,generic-website,generic-website,14,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.eatchaoban.com/ | https://www.eatchaoban.com/menu,"12 hour brisket, eye of round, beef meatballs, cilantro, shaved white onions, scallions, pho broth | five chicken ""wings"", maple fish sauce, crispy garlic, cilantro | cornmeal fried catfish, curry, mayo, hot honey, cucumber, cilantro, pickled carrots & daikon | sweet, spicy, “numbing” fried chicken, broken rice, fried egg, cucumber, lettuce tomato | lemongrass chicken dumplings, water chestnuts, chili oil sauce, cilantro"
little-pearl-dc,Little Pearl,not-found,manual-review,accommodation-policy-shell,7,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.littlepearldc.com/faq/,"""Not Quite Dessert"" | Angel Eggs | Cape Cod's Crown Jewels | None"
neutral-ground-mclean-va,Neutral Ground Bar + Kitchen,extracted,generic-website,generic-website,23,1,0.043,0,0,0,0,0,0,official-disclosure-only,0,0,1,0,0,,0,0,,0,0,0,low-official-coverage:official-disclosure-only,low-official-coverage:official-disclosure-only,Only item-level official disclosure text was found for a small subset of items; preserve those rows but do not treat this as a complete official matrix.,https://www.neutralgroundbarandkitchen.com/ | https://www.neutralgroundbarandkitchen.com/eat-drink | https://www.neutralgroundbarandkitchen.com/dinner | https://www.neutralgroundbarandkitchen.com/brunch | https://www.neutralgroundbarandkitchen.com/_api/v1/access-tokens | https://order.toasttab.com/online/6641-old-dominion-drive-llc-dba-neutral-ground-bar-kitchen-6641-old-dominion-drive | https://www.neutralgroundbarandkitchen.com/_api/restaurants-menus-item/v1/items,"Ahi Tuna Tartare | Bayou Pimento Cheese | Classic southern sharp cheddar & roasted red pepper spread. Served with everything saltine crackers. | Thinly sliced roasted beets topped with lemon, sweet onion, black garlic aioli, evoo and sea salt. | 12oz soda or 1L San Pellegrino. Coke [can]"
sorn-thai-mclean-va,Sorn Thai,not-found,generic-website,generic-website,94,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.sornthaiva.com/ | https://www.sornthaiva.com/menu | https://order.toasttab.com/online/sorn-thai-mclean-6224-e-old-dominion-dr | https://static1.squarespace.com/static/66a5372d9ec9d702c74a177b/t/680d21e6a9cbfe128100c0e7/1745691113016/Menu+%2817+x+11+in%29+APR+14%2C+2025.pdf | https://static1.squarespace.com/static/66a5372d9ec9d702c74a177b/t/68b112935910144faa02adc0/1756435091674/Brunch+menu+updated+Aug+24%2C+2025.pdf,"2 Sweet Sticky Rice | Banana Blossoms Salad | Banana blossoms, grilled prawns, minced chicken, red onion, cherry tomatoes, scallions, and crispy shallots with a spicy creamy dressing | Banana and coconut meat with coconut milk and Pandan leaves | Battered-deep-fried string beans with five-spice mayonnaise"
primrose-dc,Primrose DC,not-found,generic-website,generic-website,6,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.primrosedc.com/ | https://www.canva.com/design/DAG95JpSGN8/I2IzyEEAZ5SjZE2aihuqWA/view?utm_content=DAG95JpSGN8&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=haf02c37a4d | data/fixtures/primrose-dc-reviewed-canva-menu.json,"Reviewed Primrose Canva menu evidence. | Salanova lettuce and Green Goddess dressing. Marked gluten-free on the menu. | Vadouvan vinaigrette, farm greens | Vadouvan vinaigrette and farm greens. | Coconut rice, ginger-herb tea, and peas. Marked gluten-free on the menu."
the-capital-grille-dc,The Capital Grille DC,extracted,pdf-allergen-matrix,pdf-allergen-matrix,86,29,0.337,2.931,0,29,1,0,0,official-partial,29,0,0,0,0,egg | wheat,4,0.138,,29,1,0,,none,,https://www.thecapitalgrille.com/locations/dc/washington/washington-d-c/8003 | https://www.thecapitalgrille.com/menu/dinner/appetizers | https://www.thecapitalgrille.com/menu/dinner/soups-salads | https://www.thecapitalgrille.com/menu/dinner/chef-recommends | https://www.thecapitalgrille.com/menu/dinner/steaks | https://www.thecapitalgrille.com/menu/dinner/seafood | https://www.thecapitalgrille.com/menu/dinner/for-the-table | https://www.thecapitalgrille.com/menu/dinner/desserts | https://www.thecapitalgrille.com/menu/lunch/appetizers-and-soups | https://media.thecapitalgrille.com/images/site/ext/menu/TCG_Nutrition_Guide.pdf,Official The Capital Grille DC menu item from allergen matrix.
hiraya-kayu-dc,Hiraya / Kayu,not-found,generic-website,generic-website,28,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.hirayadc.com/ | https://www.hirayadc.com/cafe | https://www.hirayadc.com/menu | https://www.hirayadc.com/s/CAFE-MENU-NEW.pdf,"duck leg confit, black garlic, bay leaf served with heirloom rice | ~ | brisket, egg, & cheese on laminated bun | bavette, burnt onion, calamansi served with fries | chocolate & condensed milk"
namak-dc,Namak,extracted,toast,toast-menu,41,22,0.537,1.864,0,22,1,0,0,official-disclosure-only,0,0,22,0,0,milk,7,0.318,,22,1,0,,none,,https://www.namak-dc.com/ | https://www.namak-dc.com/dinner | https://www.toasttab.com/local/order/namak-1813-columbia-road-northwest | https://www.namak-dc.com/sunday-menu | https://www.namak-dc.com/sunday-menu-1 | https://www.namak-dc.com/dessert | https://www.namak-dc.com/menu | https://order.toasttab.com/online/namak-1813-columbia-road-northwest,"Adana Kebab | spicy ground lamb, lavash *contains gluten (lavash)* Mains | date molasses BBQ sauce, potato salad, lavash, pickled fennel | Chicken Shish | shawarma spiced yogurt, toum *contains yogurt*"
cordelia-fishbar-dc,Cordelia Fishbar,not-found,generic-website,generic-website,61,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.cordeliadc.com/ | https://www.cordeliadc.com/menus/ | https://www.cordeliadc.com/location/cordelia-fishbar/ | https://order.toasttab.com/online/cordelia-fishbar-550-morse-street-northeast | https://media-cdn.getbento.com/accounts/ea51096e20193e1b20288addb6fc7c1c/media/De1HMrYMRqCQ5Tv8OQAB_Cordelia_Dessert_05.21.pdf,"calabrian chili, parsley, grana padano | arugula, grafton clothbound cheddar, dates, pistachio, hot honey vinaigrette | toasted sourdough, whipped avocado, radish, cucumber, pickled onion | tilamook aged cheddar, cordelia burger sauce, sesame seed bun | tillamook aged cheddar, cordelia burger sauce, sesame seed bun"
elcielo-dc,Elcielo Washington,not-found,manual-review,accommodation-policy-shell,28,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://elcielo.com.co/washington/the-experience/,"NY strip, Tarragon Hollandaise .cls-1 { fill: #be9c68; } $195 (16 oz) $129 (7 oz) | Ramps, Purslane | Colombian Sticky Rice, Calamansi Sauce | Buttermilk reduction, Green oil, Chontaduro .cls-1 { fill: #be9c68; } .cls-1 { fill: #be9c68; } .cls-1 { fill: #be9c68; } $39 | cone (x2) Cherry, Sakura Shoyu"
uchi-dc,Uchi DC,not-found,generic-website,generic-website,125,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://uchi.uchirestaurants.com/location/sushi-dc/ | https://uchi.uchirestaurants.com/location/sushi-dc/menu/,"yuzu kosho | yuzu kosho, tamari | yuzu kosho tamari | chocolate, cherry, sakura leaves | lean tuna"
bazaar-meat-washington-dc,Bazaar Meat by Jose Andres,not-found,generic-website,generic-website,45,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.thebazaar.com/location/washington-dc/ | https://www.thebazaar.com/menu/dc-dinner/ | https://www.thebazaar.com/menu/main-menu-marqii/,"paella-style pasta, squid ink, cuttlefish sofrito, spider crab | Waygu beef, cheddar, airbread | short rib steak, piquillo pil pil | beef sirloin, tempura shiso, egg yolk, mustard vinaigrette, anchovy | fresh burrata, hazelnuts, arugula"
charley-chesapeake-chophouse-gaithersburg-md,Charley Chesapeake Chophouse & Bar,not-found,generic-website,generic-website,119,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.eatatcharley.com/menus | https://www.eatatcharley.com/ | https://static1.squarespace.com/static/68d8004ee3a9f90ba792dd8c/t/6a079ad7675e45401f1f0139/1778883287320/Charley+Chesapeake+Spring+2026+Menu.pdf | https://www.eatatcharley.com/lunchspecials | https://www.eatatcharley.com/brunchingaithersburg | https://www.eatatcharley.com/dessertcoffee | https://www.eatatcharley.com/order-takeout | https://www.eatatcharley.com/menu | https://static1.squarespace.com/static/68d8004ee3a9f90ba792dd8c/t/68f3a58f9ed67e7ac2a824cf/1760798095484/Charley+Chesapeake+Brunch.pdf | https://www.eatatcharley.com/vegetarianvegan,"buttermilk smashed potatoes and choice of side | slow roasted pork shoulder, korean barbecue sauce, jalapeno | two eggs any style, rosemary rosti hashbrowns, local sourdough toast, choice of applewood smoked bacon or pork sausage links | Mayorga espresso poured over homemade vanilla ice cream | sushi grade ahi tuna in tartare marinade, mango, jalapeno, cucumbers, chilled green beans on top of warm jasmine rice"
nobu-dc,Nobu DC,not-found,generic-website,generic-website,81,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://noburestaurants.com/washingtondc/menus | https://noburestaurants.com/washingtondc/take-out | https://noburestaurants.com/washingtondc/home,A5 Wagyu Steak | Baby Corn Honey Truffle | with Grilled Shrimp with Lobster | Baked Snow Crab | Baked Snow Crab Avocado
greenhouse-jefferson-dc,The Greenhouse at The Jefferson,not-found,generic-website,generic-website,11,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.jeffersondc.com/dining/the-greenhouse/,"Avocado, Cage Free Sunny-Side Up Egg, Heirloom Cherry Tomato, Sunflower Seeds, Aged Ricotta, Watermelon Radish, French Rustic Bread | Chesapeake Smokehouse Hand-Cut Smoked Salmon, Red Onion, Capers, Parsley, Whipped Cream Cheese, Choice of Bagel: Plain, Sesame, Poppy, Everything | Stack of Golden Malted Pancakes, Citrus Zest Syrup | Fresh Seasonal Berries, Whipped Cream, Vermont Maple Syrup | Reviewed Greenhouse breakfast menu evidence showed the Bagel and Lox description was incorrectly duplicated onto the fruit row."
rose-ave-bakery-dc,Rose Ave Bakery,not-found,generic-website,generic-website,35,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.roseavebakery.com/ | https://www.roseavebakery.com/walk-in | https://www.roseavebakery.com/menu,"Caramelized croissant filled with spiced apples and a brown butter cream cheese filling. Tossed in cinnamon sugar. | A twice-baked croissant filled banana, chocolate and a salted caramel cream. | Tossed in black sesame sugar and filled with a custardy creamy black sesame filling. ""Nutty"" creamy flavor notes. | A nutty black and ""white"" swirl cookie. | A black sesame swirl cookie. An elevated sugar cookie with a nutty flavor, but without the nuts!"
alatri-bros-bethesda-md,Alatri Bros.,not-found,toast,toast-menu,66,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.alatribros.com/menu | https://www.toasttab.com/local/order/alatri-bros | https://www.alatribros.com/order-online | https://order.toasttab.com/online/alatri-bros,"pancetta | gruyere | parmesan | caramelized onions | thyme | Arugula & Pear Salad | Gorgonzola Cheese, Candied Pecans, Sherry Vinaigrette | Quinoa, Tomato, Parsley, Onion, Lemon, Arugula"
founding-farmers-tysons-va,Founding Farmers Tysons,not-found,website-menu-pdfs,founding-farmers-pdf-menu,168,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.wearefoundingfarmers.com/location/tysons/ | https://www.wearefoundingfarmers.com/tysons-lunch-dinner-menu/ | https://www.wearefoundingfarmers.com/tysons-breakfast-menu/ | https://www.wearefoundingfarmers.com/wp-content/uploads/2020/02/FFT-Breakfast_9.30.25_PHASE-3_F.pdf | https://www.wearefoundingfarmers.com/wp-content/uploads/2020/02/FFT-First-Bake_3.18.26_F.pdf | https://www.wearefoundingfarmers.com/wp-content/uploads/2020/02/FFT-Brunch_9.30.25_PHASE-3_F.pdf | https://www.wearefoundingfarmers.com/wp-content/uploads/2020/02/FFT-LunchDinner_5.11.26_F.pdf | https://www.wearefoundingfarmers.com/wp-content/uploads/2020/02/FFT_Dessert_6.16.26_F.pdf | https://www.wearefoundingfarmers.com/,"2 Breakfast Tacos scrambled eggs, cotija cheese, cilantro, onions, Bucky’s hot sauce add: bacon | 4 Cone Flight Official Founding Farmers DC dessert menu item. | Aged NY Strip Official Founding Farmers DC lunch & dinner menu item. | Apple Pie vanilla ice cream | Artichoke Florentine Official Founding Farmers DC breakfast/brunch menu item."
marvs-dogs-dc,Marv's Dogs,not-found,toast,toast-menu,6,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://marvsdogsdc.com/ | https://marvsdogsdc.com/menu | https://marvsdogsdc.com/order | https://marvsdogsdc.com/menus | https://marvsdogsdc.com/menu-3,"Sprinkles and such.... | Dark Chocolate Chip Cookie | French Fries | Honey Vanilla Soft Serv | Chicago - Style -- Mustard, Onions, House-made relish , Tomatoes, Pickles, Sport Peppers"
catahoula-dc,Catahoula DC,not-found,generic-website,generic-website,9,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://catahouladc.com/ | https://catahouladc.com/menu/ | https://dc.eater.com/openings/167873/catahoula-new-orleans-navy-yard-dc-restaurant-openings | https://dc.eater.com/coming-attractions/167363/catahoula-seafood-dc-restaurant-opening-new-orleans-navy-yard-coming-attractions | https://dc.eater.com/restaurant-news/167824/uchi-downtown-sushi-japanese-food-texas-dc-restaurant-openings | https://dc.eater.com/dining-report/168442/little-birdie-del-ray-virginia-review | https://dc.eater.com/24391028/best-food-nationals-park-baseball-stadium-washington-nationals-games | https://dc.eater.com/openings/165612/malabar-dc-indian-restaurant-opening-ashok-bajaj | https://dc.eater.com/dining-report/168128/oyster-oyster-review-shaw | https://dc.eater.com/dining-report/167808/yu-noodles-soup-dumplings-dc-review,"Where to find New York-style pizza, Texas barbecue, hot chicken sandwiches, and Taiwanese-style shaved ice | Find good, affordable late night meals in Washington. | Where to find the best Thai restaurant in Washington, D.C. with the best papaya salads, khao soi, crab curry, and more | Fulfill a fix for spaghetti, rigatoni, and tortellini at these Italian restaurants | Eight destinations for jerk chicken, oxtails, and goat curry"
rice-paper-falls-church-va,Rice Paper,not-found,generic-website,generic-website,147,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://ricepaper-tasteofvietnam.com/ | https://www.fastordernow.com/order/menu/ricepaper | https://edencenter.com/stores/rice-paper/,"Salty Fish Fried Rice. | RICE PAPER Special style fried rice with filet mignon, sweet Chinese sausage, eggs served with fresh vegetables | Fat rice noodle in thick soup with shrimp cake and crabmeat | Grilled ground beef wrapped in grape leaves served with steamed thin vermicelli | Grilled lemongrass beef served with steamed thin vermicelli"
st-james-dc,St. James,extracted,generic-website,generic-website,39,3,0.077,0,0,0,0,0,0,official-disclosure-only,0,0,3,0,0,,0,0,,0,0,0,low-official-coverage:official-disclosure-only,low-official-coverage:official-disclosure-only,Only item-level official disclosure text was found for a small subset of items; preserve those rows but do not treat this as a complete official matrix.,https://stjames-dc.com/dinner/ | https://stjames-dc.com/ | https://stjames-dc.com/menu-landing/ | https://stjames-dc.com/lunch-menu/,"Trini-style Chinese steamed buns, stuffed with ground pork | Fried bread stuffed with cumin-spiced potatoes, channa, culantro & pepper sauce | Jasmine rice, djon djon mushroom & shrimp stock, coconut milk * rice contains shellfish * | Smoked brisket, collard greens, coconut rice | Smoked brisket, with macaroni pie & greens Fried Snapper MP Whole fried snapper, roasted coconut chutney, pickled scotch bonnet & pimento chilies, basil, lime, with coconut rice"
maison-bar-a-vins-dc,Maison Bar a Vins,not-found,generic-website,generic-website,18,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.maisondc.com/ | https://www.maisondc.com/menu | https://www.maisondc.com/_api/v1/access-tokens | https://www.maisondc.com/_files/ugd/23f43b_4b360efdeb604fd5b1cbd0349782736c.pdf | source-fetch-limit:4 | data/fixtures/maison-bar-a-vins-official-pdf-menu.json,"Rhubarb and lavender. | Vin jaune and wildflower honey. | English peas and jus gras. | Nduja, apple, Bleu d'Ambert. | Dates, walnuts, Fiore Sardo."
kathmandu-tapas-cocktails-dc,Kathmandu Tapas & Cocktails,not-found,generic-website,generic-website,9,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.kathmandu-dc.site/ | https://washingtonian.com/2026/05/05/a-nepali-cocktail-bar-opens-at-14th-and-u-this-week/ | https://www.kathmandu-dc.site/menu-experience | https://kathmandu-dc.site/ | https://kathmandu-dc.site/menu | https://kathmandu-dc.site/menus | https://washingtonian.com/sections/food/ | https://washingtonian.com/2026/06/26/a-nostalgia-invoking-american-grill-brings-prime-rib-and-seafood-plateaus-to-georgetown/ | https://washingtonian.com/2026/06/29/dc-food-truck-mafia-national-mall/ | https://washingtonian.com/tag/neighborhood-guide/,"Chicken jhol momo, named in public social menu evidence. | Garlic naan with hummus, named in public social menu evidence. | Grilled duck choila tacos, named in public opening coverage. | Jalebi with rabri, named in public opening social evidence. | Chinese-inspired keema noodles, named in public opening coverage."
florida-avenue-grill-dc,Florida Avenue Grill,not-found,generic-website,generic-website,22,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.floridaavenuegrill.com/ | https://www.floridaavenuegrill.com/hours%26directions.html | https://places.singleplatform.com/florida-avenue-grill/menu,"Bacon | Bacon And Egg | Candied Sweet Potatoes, Potato Salad Garden Peas, Mashed Potatoes, Fresh Cabbage Pickled Beets, Rice, String Beans | Beef Liver And Sauteed Onions | Bowl Of Beans"
